,CustomerID
0,100256
1,101038
2,100710
3,100668
4,101199
5,101103
6,101426
7,100724
8,100484
9,100315
10,102296
11,100385
12,101026
13,100307
14,101886
15,100094
16,100729
17,100229
18,102084
19,101144
20,101749
21,101388
22,100049
23,101176
24,101297
25,100649
26,100692
27,101257
28,102143
29,101274
30,101135
31,100154
32,100673
33,100327
34,100672
35,101943
36,102325
37,100053
38,101394
39,100221
40,100999
41,100896
42,101656
43,100371
44,101431
45,100640
46,102260
47,100707
48,100546
49,102335
50,102238
51,101137
52,100802
53,100810
54,100818
55,101624
56,100293
57,100564
58,100449
59,100166
60,101548
61,101116
62,101737
63,100732
64,100360
65,100070
66,100044
67,101364
68,100153
69,100114
70,100998
71,100209
72,100300
73,101492
74,100443
75,100882
76,100268
77,101965
78,100761
79,101334
80,100917
81,101859
82,101995
83,100911
84,100249
85,101474
86,101416
87,101408
88,100205
89,100961
90,100543
91,100696
92,101324
93,102088
94,100052
95,102040
96,101767
97,100760
98,101047
99,101080
100,101311
101,101095
102,102278
103,100084
104,102357
105,101281
106,100559
107,100283
108,101006
109,100169
110,100592
111,100248
112,100103
113,101725
114,100777
115,101735
116,101294
117,101277
118,100748
119,102308
120,102020
121,100782
122,102043
123,102350
124,101245
125,102089
126,101099
127,100858
128,101526
129,102241
130,101215
131,100626
132,100123
133,101061
134,100611
135,100304
136,100742
137,102230
138,101875
139,100066
140,101476
141,101028
142,102297
143,100910
144,100348
145,100877
146,102281
147,101596
148,102261
149,100616
150,101959
151,100841
152,100002
153,100864
154,100918
155,101192
156,100796
157,100097
158,100108
159,102233
160,100189
161,101042
162,101174
163,100062
164,100266
165,101039
166,100906
167,100017
168,100278
169,101078
170,101053
171,101779
172,100876
173,100165
174,101218
175,101770
176,101001
177,100526
178,101329
179,100735
180,100373
181,100005
182,101444
183,100375
184,101901
185,100083
186,100489
187,100839
188,100791
189,101997
190,101156
191,100276
192,100164
193,101151
194,100133
195,100941
196,101048
197,100891
198,101195
199,101055
200,100566
201,100305
202,101663
203,101100
204,100755
205,102184
206,100427
207,101539
208,101212
209,100651
210,100765
211,100702
212,102134
213,101223
214,101673
215,101318
216,100310
217,100903
218,100925
219,101948
220,100764
221,101290
222,101700
223,101305
224,100958
225,101588
226,100964
227,101397
228,101183
229,101512
230,100206
231,100878
232,100326
233,100033
234,101315
235,100642
236,100365
237,100079
238,100161
239,102152
240,100645
241,102388
242,102288
243,100898
244,101396
245,100613
246,100867
247,101084
248,100650
249,100834
250,101771
251,101146
252,100379
253,101538
254,100459
255,101025
256,100267
257,101414
258,101902
259,100186
260,100368
261,101683
262,102182
263,102314
264,100852
265,100719
266,100624
267,101692
268,100262
269,100835
270,100363
271,101996
272,100038
273,102060
274,101440
275,101945
276,102029
277,101652
278,101280
279,101299
280,100450
281,102136
282,100928
283,101239
284,101625
285,101559
286,101143
287,101291
288,101703
289,102161
290,101319
291,101323
292,101251
293,100018
294,101149
295,101693
296,100778
297,102030
298,102301
299,101347
300,100635
301,100577
302,101502
303,102041
304,101709
305,101008
306,100779
307,101002
308,101391
309,101019
310,101923
311,100744
312,100439
313,100369
314,101332
315,100837
316,100425
317,100895
318,100954
319,100955
320,101357
321,100322
322,101893
323,101810
324,100745
325,100513
326,100078
327,101479
328,100246
329,101335
330,100636
331,100438
332,102122
333,100309
334,102085
335,102307
336,101931
337,101441
338,101340
339,101619
340,101932
341,100016
342,100428
343,100632
344,101162
345,100709
346,102024
347,101317
348,101041
349,100362
350,101452
351,101307
352,100586
353,100389
354,101070
355,100007
356,101620
357,100759
358,100681
359,102205
360,100889
361,100275
362,101175
363,101553
364,101050
365,101109
366,101371
367,101544
368,101443
369,101194
370,100843
371,100292
372,100394
373,100689
374,100469
375,102352
376,100872
377,102212
378,100885
379,100111
380,101221
381,101728
382,101777
383,101309
384,101184
385,100646
386,101405
387,100152
388,101671
389,101087
390,102236
391,100311
392,100144
393,102048
394,100550
395,102373
396,100552
397,102037
398,102014
399,101458
400,102362
401,100883
402,100252
403,101410
404,102392
405,101375
406,102358
407,100915
408,102207
409,112656
410,100191
411,100993
412,102147
413,100022
414,101473
415,101638
416,100031
417,101510
418,101769
419,101593
420,100524
421,100771
422,101366
423,100699
424,101630
425,100474
426,100727
427,102196
428,100485
429,101713
430,102283
431,101091
432,101648
433,101477
434,100627
435,101082
436,101033
437,100208
438,100505
439,100136
440,100331
441,100346
442,101566
443,101201
444,102008
445,100414
446,100059
447,102148
448,100378
449,100333
450,100302
451,101279
452,101606
453,101716
454,100345
455,100285
456,101757
457,100488
458,100273
459,101404
460,100196
461,100407
462,101493
463,101258
464,101205
465,100713
466,100155
467,102372
468,100316
469,100226
470,100025
471,100572
472,101545
473,100836
474,100303
475,100353
476,102120
477,101200
478,102223
479,101067
480,100176
481,102151
482,101282
483,100661
484,100863
485,100569
486,101222
487,100923
488,101325
489,100528
490,102118
491,100538
492,100486
493,101331
494,100232
495,101697
496,100980
497,102389
498,102201
499,100122
500,101106
501,101018
502,100426
503,102225
504,101301
505,100158
506,101350
507,100499
508,102258
509,100436
510,101035
511,100932
512,101447
513,101501
514,101865
515,100534
516,101207
517,101714
518,101862
519,102315
520,100659
521,100789
522,101729
523,101271
524,101961
525,101496
526,100688
527,102368
528,102390
529,101685
530,101891
531,100726
532,102251
533,101112
534,101034
535,101468
536,100929
537,102356
538,100561
539,100518
540,101536
541,100230
542,100892
543,100674
544,100041
545,101649
546,102284
547,100347
548,102252
549,100585
550,101503
551,101675
552,102243
553,100730
554,100199
555,100156
556,101427
557,100716
558,100143
559,102300
560,102411
561,101313
562,102276
563,100865
564,102419
565,100807
566,102190
567,102051
568,102197
569,100395
570,102056
571,101123
572,102232
573,101639
574,101746
575,100737
576,100555
577,100995
578,101715
579,100602
580,100901
581,100091
582,101525
583,102404
584,101438
585,101129
586,102209
587,101860
588,101024
589,102179
590,101268
591,102168
592,100479
593,100604
594,100547
595,101418
596,101994
597,100137
598,100480
599,100780
600,101711
601,102287
602,100377
603,101238
604,102105
605,100140
606,102416
607,101657
608,102289
609,100831
610,102409
611,102433
612,100139
613,101937
614,102401
615,100415
616,100057
617,100583
618,100913
619,100558
620,100102
621,102098
622,101623
623,101505
624,101381
625,101168
626,102447
627,100665
628,100263
629,101678
630,102426
631,101434
632,101998
633,100992
634,101287
635,101040
636,102460
637,102428
638,100571
639,102271
640,102427
641,100849
642,102434
643,102010
644,100142
645,102188
646,100720
647,101157
648,100507
649,100491
650,102444
651,101075
652,100976
653,102432
654,102309
655,101519
656,101203
657,100982
658,102441
659,100271
660,102454
661,101348
662,100337
663,100823
664,100905
665,102313
666,100500
667,101944
668,102237
669,101764
670,100100
671,101185
672,102457
673,101807
674,101662
675,102337
676,101653
677,102157
678,102050
679,100921
680,102159
681,100549
682,100969
683,100043
684,100149
685,100313
686,100691
687,101991
688,102466
689,101589
690,101549
691,102472
692,100811
693,101792
694,100359
695,100382
696,102484
697,102422
698,100757
699,100159
700,102436
701,101759
702,102451
703,102491
704,100040
705,100781
706,101094
707,100533
708,100816
709,100444
710,100402
711,102467
712,102478
713,101527
714,101616
715,101463
716,102461
717,100496
718,100163
719,102211
720,102471
721,102487
722,100027
723,101978
724,101128
725,101119
726,100478
727,102479
728,100607
729,101351
730,100695
731,101085
732,100236
733,101115
734,101196
735,101330
736,101570
737,102318
738,102332
739,102333
740,102345
741,101537
742,100456
743,100630
744,101782
745,100734
746,100508
747,101003
748,100086
749,100060
750,100056
751,102528
752,100916
753,100544
754,102227
755,101542
756,100067
757,102445
758,102498
759,100625
760,101155
761,102499
762,101799
763,100014
764,102400
765,100926
766,100554
767,100977
768,102510
769,100433
770,100712
771,101409
772,102494
773,101684
774,100146
775,102511
776,101618
777,100318
778,102536
779,102530
780,101261
781,101600
782,100989
783,101481
784,100770
785,102059
786,100090
787,101924
788,101603
789,102540
790,102509
791,102514
792,102525
793,102541
794,102552
795,102298
796,102550
797,102091
798,102100
799,102153
800,102482
801,101521
802,100840
803,100417
804,102542
805,102583
806,101191
807,101167
808,102535
809,102547
810,101263
811,101763
812,100215
813,101551
814,101275
815,102505
816,102556
817,102567
818,100207
819,100931
820,102562
821,102559
822,102519
823,101547
824,102578
825,102437
826,102577
827,102263
828,102449
829,100845
830,101575
831,101967
832,100006
833,100493
834,101929
835,101466
836,100675
837,102587
838,102572
839,100280
840,101210
841,100422
842,102584
843,102573
844,102273
845,102200
846,100020
847,100687
848,100506
849,101789
850,102595
851,100669
852,100924
853,102192
854,101073
855,100364
856,100676
857,102613
858,102607
859,102145
860,101013
861,102601
862,102606
863,102609
864,102600
865,101727
866,101528
867,100219
868,101654
869,101563
870,101676
871,102605
872,100900
873,101204
874,100975
875,102497
876,101641
877,100011
878,102581
879,102648
880,102504
881,102340
882,101072
883,102691
884,102643
885,102650
886,101027
887,102685
888,102657
889,102673
890,102682
891,102699
892,102687
893,102698
894,102662
895,102603
896,102635
897,102057
898,102676
899,102462
900,102619
901,102652
902,102631
903,102515
904,102704
905,102661
906,101242
907,100809
908,102667
909,100715
910,102660
911,101306
912,102618
913,100193
914,102663
915,101159
916,100622
917,102656
918,102719
919,101083
920,100446
921,102349
922,102166
923,100372
924,100512
925,101721
926,101214
927,101839
928,102622
929,101739
930,100644
931,102508
932,102714
933,100965
934,100984
935,101276
936,102729
937,100128
938,102724
939,101857
940,102646
941,100257
942,102705
943,101011
944,102736
945,102590
946,102738
947,102106
948,101780
949,102493
950,100204
951,102754
952,100321
953,102741
954,102757
955,100476
956,100766
957,102759
958,100160
959,100832
960,102768
961,102113
962,101384
963,100490
964,102442
965,100175
966,101686
967,100009
968,102021
969,100949
970,102780
971,102772
972,102571
973,100573
974,102534
975,102781
976,100312
977,102774
978,101696
979,102210
980,102475
981,101516
982,102790
983,102174
984,102746
985,100471
986,102793
987,100968
988,102794
989,102789
990,102800
991,100350
992,102703
993,102769
994,102758
995,102575
996,102725
997,102181
998,101108
999,102767
1000,100141
1001,101186
1002,100190
1003,102599
1004,101248
1005,100785
1006,102246
1007,100286
1008,102702
1009,100593
1010,102119
1011,102017
1012,102012
1013,100680
1014,101500
1015,102191
1016,102751
1017,101802
1018,101609
1019,102636
1020,102490
1021,102810
1022,100482
1023,102570
1024,102814
1025,100453
1026,102815
1027,101535
1028,102811
1029,102820
1030,102825
1031,102124
1032,100817
1033,102722
1034,102065
1035,102828
1036,102827
1037,102731
1038,101595
1039,101532
1040,102775
1041,102833
1042,101741
1043,102214
1044,102839
1045,102079
1046,102806
1047,101421
1048,102658
1049,101664
1050,102844
1051,102464
1052,101419
1053,100032
1054,100177
1055,101046
1056,102852
1057,102850
1058,102834
1059,101054
1060,101471
1061,102848
1062,102856
1063,102853
1064,100495
1065,102862
1066,101817
1067,101235
1068,102864
1069,102847
1070,100387
1071,102863
1072,101363
1073,102080
1074,101984
1075,102870
1076,100556
1077,102875
1078,101433
1079,102876
1080,100795
1081,102877
1082,101407
1083,102878
1084,102873
1085,102883
1086,102880
1087,102879
1088,102887
1089,101511
1090,101926
1091,102885
1092,102186
1093,102881
1094,102890
1095,101748
1096,101101
1097,102897
1098,101688
1099,100115
1100,100825
1101,100530
1102,102902
1103,102900
1104,102796
1105,102898
1106,102797
1107,102907
1108,102908
1109,102905
1110,102194
1111,100639
1112,101056
1113,101734
1114,100850
1115,102910
1116,102913
1117,102911
1118,102915
1119,101353
1120,100861
1121,100981
1122,102924
1123,102888
1124,102936
1125,102937
1126,102932
1127,100711
1128,102930
1129,102109
1130,102912
1131,102926
1132,100754
1133,100708
1134,102935
1135,102843
1136,100722
1137,100481
1138,101012
1139,101043
1140,100848
1141,100200
1142,102949
1143,102958
1144,101946
1145,102939
1146,102918
1147,101197
1148,100531
1149,100112
1150,102929
1151,102963
1152,102972
1153,102974
1154,100973
1155,100601
1156,102973
1157,102979
1158,102980
1159,102322
1160,101140
1161,100004
1162,102984
1163,100050
1164,100787
1165,102988
1166,102962
1167,102993
1168,100581
1169,102991
1170,102945
1171,100950
1172,102994
1173,101327
1174,102989
1175,102998
1176,100822
1177,101432
1178,103001
1179,101935
1180,103000
1181,102995
1182,103005
1183,103006
1184,102180
1185,100813
1186,101483
1187,101541
1188,102996
1189,100475
1190,103004
1191,100030
1192,103015
1193,108664
1194,103016
1195,102551
1196,103008
1197,101558
1198,102319
1199,103013
1200,103024
1201,103018
1202,103023
1203,103025
1204,103010
1205,103032
1206,100037
1207,100244
1208,101058
1209,103020
1210,103034
1211,103029
1212,103002
1213,103046
1214,103038
1215,103048
1216,100517
1217,100174
1218,103039
1219,103056
1220,100912
1221,100357
1222,102492
1223,102221
1224,102896
1225,103062
1226,103012
1227,103052
1228,103069
1229,103067
1230,103060
1231,102837
1232,103076
1233,103066
1234,100183
1235,103063
1236,100536
1237,103059
1238,103074
1239,103086
1240,101172
1241,100599
1242,102036
1243,102163
1244,102099
1245,103088
1246,103075
1247,101059
1248,103089
1249,101954
1250,103097
1251,103096
1252,100421
1253,100623
1254,101130
1255,103109
1256,100800
1257,100093
1258,103108
1259,103116
1260,103094
1261,102019
1262,100551
1263,103113
1264,103120
1265,103114
1266,103119
1267,101169
1268,101813
1269,103130
1270,103138
1271,103111
1272,103126
1273,103102
1274,103144
1275,100641
1276,103142
1277,103139
1278,103150
1279,103128
1280,103152
1281,103160
1282,101826
1283,101420
1284,103132
1285,103174
1286,103176
1287,103179
1288,103189
1289,103178
1290,100920
1291,103159
1292,101272
1293,100776
1294,103188
1295,101626
1296,103197
1297,103158
1298,101152
1299,103199
1300,103201
1301,101400
1302,103207
1303,103219
1304,103225
1305,103208
1306,103226
1307,103137
1308,103228
1309,103222
1310,100690
1311,101417
1312,103231
1313,103239
1314,103244
1315,100255
1316,103242
1317,103220
1318,103249
1319,103243
1320,100398
1321,103213
1322,103211
1323,103256
1324,103259
1325,103262
1326,103212
1327,103265
1328,103264
1329,103267
1330,103269
1331,103278
1332,103258
1333,103273
1334,103283
1335,103285
1336,103281
1337,103286
1338,103287
1339,103292
1340,103279
1341,101602
1342,102245
1343,103299
1344,103302
1345,103297
1346,103266
1347,103300
1348,103308
1349,103312
1350,101369
1351,103303
1352,103282
1353,103248
1354,103200
1355,103316
1356,103317
1357,103321
1358,103305
1359,103341
1360,103333
1361,103345
1362,103350
1363,103230
1364,103360
1365,103309
1366,103356
1367,101704
1368,103369
1369,103314
1370,103335
1371,103374
1372,103377
1373,103337
1374,103295
1375,103338
1376,103395
1377,103394
1378,103391
1379,103379
1380,103319
1381,103397
1382,103390
1383,103403
1384,101861
1385,103387
1386,100594
1387,103364
1388,100225
1389,103407
1390,103419
1391,100411
1392,100884
1393,101522
1394,100684
1395,102302
1396,102034
1397,103325
1398,103434
1399,103431
1400,103447
1401,103439
1402,103435
1403,103436
1404,103424
1405,103448
1406,103449
1407,103521
1408,103444
1409,103433
1410,103430
1411,100117
1412,103522
1413,103523
1414,103538
1415,103537
1416,103534
1417,103533
1418,103543
1419,100264
1420,103420
1421,103524
1422,103536
1423,103415
1424,103421
1425,103514
1426,103481
1427,103453
1428,103549
1429,103493
1430,103504
1431,101328
1432,103546
1433,103557
1434,103560
1435,103472
1436,103469
1437,103496
1438,103470
1439,103567
1440,102213
1441,103574
1442,103452
1443,103579
1444,100974
1445,103580
1446,103583
1447,103589
1448,103591
1449,103581
1450,103572
1451,103610
1452,103561
1453,103375
1454,103611
1455,103519
1456,101000
1457,101515
1458,103621
1459,103595
1460,103631
1461,103614
1462,103628
1463,103639
1464,103603
1465,108779
1466,103606
1467,100370
1468,103612
1469,103643
1470,103641
1471,103647
1472,103650
1473,103575
1474,103627
1475,103592
1476,102144
1477,102229
1478,103353
1479,100775
1480,103651
1481,103664
1482,101534
1483,100265
1484,103501
1485,103672
1486,103669
1487,101071
1488,103674
1489,103675
1490,103503
1491,103677
1492,103577
1493,103687
1494,103683
1495,103662
1496,103695
1497,103682
1498,103645
1499,103642
1500,103688
1501,103697
1502,103670
1503,103694
1504,103691
1505,103569
1506,103708
1507,101298
1508,103653
1509,103722
1510,103724
1511,103728
1512,103727
1513,103734
1514,103623
1515,103554
1516,100259
1517,103737
1518,103553
1519,100105
1520,101849
1521,103747
1522,103721
1523,101971
1524,103745
1525,101608
1526,103655
1527,103764
1528,103756
1529,103723
1530,103768
1531,103705
1532,103766
1533,102090
1534,100466
1535,103763
1536,103769
1537,103785
1538,103775
1539,103791
1540,103781
1541,103801
1542,103735
1543,103451
1544,103752
1545,102269
1546,103765
1547,103803
1548,103805
1549,103823
1550,102299
1551,103816
1552,103827
1553,103831
1554,103829
1555,103807
1556,103657
1557,103839
1558,103837
1559,103810
1560,103849
1561,103850
1562,103853
1563,103846
1564,101390
1565,103863
1566,103861
1567,103852
1568,103854
1569,103870
1570,103787
1571,103784
1572,103762
1573,103877
1574,103843
1575,103845
1576,103841
1577,103467
1578,103844
1579,103690
1580,103862
1581,103883
1582,103873
1583,103894
1584,103857
1585,103893
1586,103833
